,Hotel,Resort name,Price,Country
57,HILLTOP BOUTIQUE HOTEL 3 *Studio,МаэMAHEМаэ,1 926,Сейшелы
58,HILLTOP BOUTIQUE HOTEL 3 *Studio,МаэMAHEМаэ,1 928,Сейшелы
59,BLUE LAGOON CHALET Special Cat.Chalet One Bedroom,МаэMAHEМаэ,1 929,Сейшелы
60,BLUE LAGOON CHALET Special Cat.Chalet One Bedroom,МаэMAHEМаэ,1 929,Сейшелы
61,LE RELAX HOTEL & RESTAURANT 3 *Deluxe,МаэMAHEМаэ,1 932,Сейшелы
62,LE RELAX HOTEL & RESTAURANT 3 *Deluxe,МаэMAHEМаэ,1 932,Сейшелы
63,BERJAYA BEAU VALLON BAY RESORT 4 *Superior Room,МаэMAHEМаэ,1 936,Сейшелы
64,VALMER RESORT 3 *Garden Studio,МаэMAHEМаэ,1 944,Сейшелы
65,VALMER RESORT 3 *Garden Studio,МаэMAHEМаэ,1 944,Сейшелы
66,SUN RESORT 3 *Standard Room,МаэMAHEМаэ,1 950,Сейшелы
67,HILLTOP BOUTIQUE HOTEL 3 *Studio,МаэMAHEМаэ,1 952,Сейшелы
68,BLUE LAGOON CHALET Special Cat.Chalet One Bedroom,МаэMAHEМаэ,1 952,Сейшелы
69,HILLTOP BOUTIQUE HOTEL 3 *Studio,МаэMAHEМаэ,1 954,Сейшелы
70,SUN RESORT 3 *Standard Room,МаэMAHEМаэ,1 956,Сейшелы
71,SUN RESORT 3 *Standard Room,МаэMAHEМаэ,1 956,Сейшелы
72,LE RELAX HOTEL & RESTAURANT 3 *Deluxe,МаэMAHEМаэ,1 956,Сейшелы
73,EDEN LUXURY APARTMENTS Special Cat.One Bedroom Apartment,МаэMAHEМаэ,1 957,Сейшелы
74,HILLTOP BOUTIQUE HOTEL 3 *Apartment,МаэMAHEМаэ,1 957,Сейшелы
