,Hotel,Resort name,Price,Country
93,DROP HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,858,Турция
94,PRIMA HOTEL 3 *Standard,АнталияANTALYAАнталия,858,Турция
95,ORIENT SUITE HOTEL 3 *Standard Room,Инжекум - АланияANTALYAАнталия,858,Турция
96,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,859,Турция
97,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,860,Турция
98,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,860,Турция
0,CITY EXPRESS PARIS ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 090,Франция
1,LUXIA HOTEL 2 *TWIN,ПарижPARISПариж,1 106,Франция
2,BORDEAUX HOTEL 2 *DBL,ПарижPARISПариж,1 110,Франция
3,LUXIA HOTEL 2 *TWIN,ПарижPARISПариж,1 117,Франция
4,BORDEAUX HOTEL 2 *DBL,ПарижPARISПариж,1 122,Франция
5,ALTONA 2 *DBL,ПарижPARISПариж,1 130,Франция
6,LUXIA HOTEL 2 *TWIN,ПарижPARISПариж,1 138,Франция
7,CITY EXPRESS PARIS STANDARD 3 *DBL,Экскурсионные туры - ПарижPARISПариж,1 142,Франция
8,BORDEAUX HOTEL 2 *DBL,ПарижPARISПариж,1 144,Франция
9,FIAT HOTEL 2 *DBL,ПарижPARISПариж,1 146,Франция
10,ALTONA 2 *DBL,ПарижPARISПариж,1 147,Франция
11,ROYAL FROMENTIN 3 *DBL,ПарижPARISПариж,1 150,Франция
12,AVENIR HOTEL 2 *DBL,ПарижPARISПариж,1 154,Франция
13,DU LEMAN HOTEL 3 *DBL,ПарижPARISПариж,1 162,Франция
14,APOLLO OPERA HOTEL 3 *DBL,ПарижPARISПариж,1 166,Франция
15,FIAT HOTEL 2 *DBL,ПарижPARISПариж,1 167,Франция
16,RIVIERA HOTEL (PARIS) 3 *DBL,ПарижPARISПариж,1 170,Франция
17,ROYAL FROMENTIN 3 *DBL,ПарижPARISПариж,1 172,Франция
18,ALTONA 2 *DBL,ПарижPARISПариж,1 174,Франция
19,CITY EXPRESS PARIS ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 174,Франция
20,AVENIR HOTEL 2 *DBL,ПарижPARISПариж,1 177,Франция
21,CALVADOS HOTEL 3 *DBL,ПарижPARISПариж,1 178,Франция
22,DU LEMAN HOTEL 3 *DBL,ПарижPARISПариж,1 187,Франция
23,APOLLO OPERA HOTEL 3 *DBL,ПарижPARISПариж,1 192,Франция
24,RIVIERA HOTEL (PARIS) 3 *DBL,ПарижPARISПариж,1 197,Франция
25,FIAT HOTEL 2 *DBL,ПарижPARISПариж,1 198,Франция
26,PARIS CITY WALKS ECONOMY 2 *DBL,Экскурсионные туры - ПарижPARISПариж,1 202,Франция
27,ROYAL FROMENTIN 3 *DBL,ПарижPARISПариж,1 204,Франция
28,BORDEAUX HOTEL 2 *DBL,ПарижPARISПариж,1 206,Франция
29,CALVADOS HOTEL 3 *DBL,ПарижPARISПариж,1 207,Франция
30,AVENIR HOTEL 2 *DBL,ПарижPARISПариж,1 210,Франция
